date,open,close,high,low,volume,code
2010-04-26,-77.801,-79.356,-77.365,-79.379,107036.13,600519
2010-04-27,-79.386,-82.347,-79.386,-82.534,58234.48,600519
2010-04-28,-83.06,-82.963,-82.008,-83.812,26287.43,600519
2010-04-29,-82.64,-81.37,-80.611,-82.64,34501.2,600519
2010-04-30,-83.489,-85.292,-83.489,-86.253,85566.7,600519
2010-05-04,-86.073,-85.585,-84.894,-86.9,23975.16,600519
2010-05-05,-86.216,-83.969,-83.631,-86.591,33838.78,600519
2010-05-06,-83.812,-86.554,-83.812,-86.591,28240.34,600519
2010-05-07,-87.568,-84.555,-84.285,-87.944,31254.76,600519
2010-05-10,-83.06,-81.903,-80.055,-83.06,66192.58,600519
2010-05-11,-80.363,-81.813,-80.055,-82.437,33632.41,600519
2010-05-12,-82.091,-82.174,-81.558,-84.563,21643.19,600519
2010-05-13,-82.136,-80.904,-80.28,-82.136,27049.54,600519
2010-05-14,-80.897,-80.844,-79.972,-81.558,18126.16,600519
2010-05-17,-81.032,-84.713,-81.032,-84.863,17643.59,600519
2010-05-18,-84.563,-84.48,-83.834,-87.433,26037.47,600519
2010-05-19,-84.187,-84.691,-83.661,-86.051,10798.97,600519
2010-05-20,-84.976,-83.451,-82.061,-85.307,22740.45,600519
2010-05-21,-85.014,-81.4,-81.107,-85.712,27341.38,600519
2010-05-24,-80.814,-80.078,-79.679,-81.332,29783.47,600519
2010-05-25,-80.356,-83.624,-80.356,-83.999,22050.77,600519
2010-05-26,-83.436,-83.105,-82.564,-84.443,11025.31,600519
2010-05-31,-81.933,-83.15,-80.641,-83.15,23549.88,600519
2010-06-01,-83.248,-82.587,-81.963,-84.187,23525.57,600519
2010-06-02,-82.64,-81.437,-81.257,-83.323,21889.44,600519
2010-06-03,-80.814,-80.784,-79.679,-82.008,24949.42,600519
2010-06-04,-80.859,-78.462,-78.252,-81.4,30036.43,600519
2010-06-07,-79.304,-76.253,-75.344,-80.055,38125.07,600519
2010-06-08,-76.253,-76.96,-75.637,-77.801,14394.78,600519
2010-06-09,-76.885,-75.983,-75.096,-76.99,18053.93,600519
2010-06-10,-75.998,-76.036,-75.096,-76.652,11781.27,600519
2010-06-11,-75.87,-78.019,-75.172,-78.132,19572.75,600519
2010-06-17,-77.651,-79.694,-77.433,-79.822,12523.71,600519
2010-06-18,-80.048,-82.865,-79.454,-83.804,20102.29,600519
2010-06-21,-82.76,-81.227,-81.182,-83.661,18954.01,600519
2010-06-22,-82.114,-82.918,-81.603,-83.511,20779.1,600519
2010-06-23,-83.06,-83.286,-82.399,-83.496,12812.76,600519
2010-06-24,-83.128,-84.585,-82.707,-84.803,24344.03,600519
2010-06-25,-84.713,-84.172,-83.812,-85.442,19011.35,600519
2010-06-28,-84.413,-86.058,-84.398,-86.208,14816.98,600519
2010-06-29,-85.682,-87.365,-85.021,-87.936,27782.66,600519
2010-06-30,-87.568,-86.546,-86.441,-87.831,17824.12,600519
2010-07-01,-86.178,-86.802,-86.178,-87.193,7449.69,600519
2010-07-02,-87.155,-86.306,-85.239,-87.155,16452.7,600519
2010-07-05,-86.302,-86.821,-86.077,-87.76,14040.74,600519
2010-07-06,-86.753,-85.476,-85.055,-87.429,15306.43,600519
2010-07-07,-85.476,-85.686,-84.8,-86.302,8788.28,600519
2010-07-08,-85.844,-84.935,-84.8,-85.844,8516.41,600519
2010-07-09,-84.74,-82.876,-82.02,-85.393,27378.51,600519
2010-07-12,-83.072,-83.139,-81.193,-83.259,17834.0,600519
2010-07-13,-83.117,-84.011,-83.117,-84.792,7439.11,600519
2010-07-14,-84.123,-83.492,-82.801,-84.401,9642.66,600519
2010-07-15,-83.297,-82.298,-81.268,-83.41,18833.33,600519
2010-07-16,-82.996,-80.81,-80.412,-83.237,32949.51,600519
2010-07-19,-81.381,-79.315,-79.014,-81.486,19412.32,600519
2010-07-20,-79.18,-78.782,-78.196,-80.156,26886.19,600519
2010-07-21,-78.782,-77.752,-75.859,-78.782,24363.02,600519
2010-07-22,-77.061,-77.692,-77.061,-78.564,16221.66,600519
2010-07-23,-77.527,-75.626,-75.393,-77.527,38466.0,600519
2010-07-26,-75.626,-75.438,-74.071,-75.972,22016.91,600519
2010-07-27,-76.084,-74.657,-74.522,-76.084,25229.04,600519
2010-07-28,-74.206,-73.951,-73.883,-75.033,27740.35,600519
2010-07-29,-73.958,-76.595,-73.83,-76.791,45372.87,600519
2010-07-30,-76.7,-77.159,-76.7,-78.038,29438.77,600519
2010-08-02,-77.189,-73.492,-72.208,-77.189,42965.73,600519
2010-08-03,-73.906,-74.462,-72.553,-74.649,17573.23,600519
2010-08-04,-74.657,-73.139,-73.004,-74.867,17350.13,600519
2010-08-05,-73.094,-70.029,-69.135,-73.094,41966.13,600519
2010-08-06,-70.299,-69.999,-69.548,-70.75,21840.53,600519
2010-08-09,-69.961,-67.437,-66.978,-69.961,38703.0,600519
2010-08-10,-67.437,-71.081,-65.949,-71.276,28739.94,600519
2010-08-11,-71.652,-70.262,-69.398,-71.652,15190.63,600519
2010-08-12,-70.299,-69.458,-67.219,-71.494,31025.87,600519
2010-08-13,-69.488,-68.353,-67.549,-69.909,15775.59,600519
2010-08-16,-68.338,-66.468,-66.175,-68.338,25910.45,600519
2010-08-17,-66.543,-64.822,-63.951,-66.768,35747.57,600519
2010-08-18,-64.905,-66.513,-63.823,-66.918,30173.78,600519
2010-08-19,-66.483,-67.7,-65.716,-68.271,35437.14,600519
2010-08-20,-67.752,-69.48,-67.752,-69.788,20841.59,600519
2010-08-23,-69.961,-68.105,-67.97,-70.149,13214.93,600519
2010-08-24,-68.406,-67.579,-66.4,-69.323,10838.25,600519
2010-08-25,-68.271,-68.804,-67.204,-68.924,16507.88,600519
2010-08-26,-68.721,-68.368,-68.233,-69.773,12232.0,600519
2010-08-27,-68.646,-67.85,-67.722,-69.247,8799.0,600519
2010-08-30,-67.384,-61.268,-61.133,-67.384,53784.0,600519
2010-08-31,-62.238,-61.712,-60.389,-62.726,31399.0,600519
2010-09-01,-62.035,-63.477,-60.232,-64.214,25589.0,600519
2010-09-02,-62.636,-61.141,-59.57,-62.733,24821.0,600519
2010-09-03,-61.283,-59.165,-57.091,-61.283,27761.0,600519
2010-09-06,-58.128,-56.084,-54.672,-58.128,29008.0,600519
2010-09-07,-55.836,-57.174,-54.296,-57.527,22373.0,600519
2010-09-08,-57.377,-56.265,-55.498,-57.377,15010.0,600519
2010-09-09,-55.874,-55.957,-54.296,-56.625,21503.0,600519
2010-09-10,-55.498,-54.003,-53.695,-56.25,19867.0,600519
2010-09-13,-54.371,-54.537,-51.028,-55.16,28063.0,600519
2010-09-14,-54.559,-55.656,-53.455,-56.926,26383.0,600519
2010-09-15,-55.874,-59.292,-55.656,-59.856,21032.0,600519
2010-09-16,-59.555,-61.629,-58.09,-63.47,20497.0,600519
2010-09-17,-61.719,-59.773,-57.797,-63.004,17975.0,600519
2010-09-20,-58.984,-57.64,-56.625,-59.631,12576.0,600519
2010-09-21,-56.25,-56.565,-55.964,-58.12,14940.0,600519
2010-09-27,-56.55,-54.499,-54.371,-57.151,18548.0,600519
2010-09-28,-54.679,-53.034,-52.726,-55.123,22585.0,600519
2010-09-29,-53.32,-55.754,-52.455,-55.866,13272.0,600519
2010-09-30,-56.205,-54.574,-54.221,-56.625,14578.0,600519
2010-10-08,-54.371,-50.968,-49.488,-54.371,31608.0,600519
2010-10-11,-50.615,-55.273,-48.789,-56.625,43742.0,600519
2010-10-12,-55.265,-56.175,-53.635,-57.91,28543.0,600519
2010-10-13,-56.625,-60.382,-56.227,-61.246,60287.0,600519
2010-10-14,-60.367,-62.305,-60.156,-63.53,53243.0,600519
2010-10-15,-62.245,-61.148,-58.879,-62.403,72099.0,600519
2010-10-18,-61.133,-59.315,-57.256,-65.04,96564.0,600519
2010-10-19,-60.066,-58.676,-57.452,-61.133,53448.0,600519
2010-10-20,-61.058,-55.566,-54.446,-61.066,47372.0,600519
2010-10-21,-55.423,-55.521,-53.582,-56.776,37621.0,600519
2010-10-22,-55.513,-55.04,-52.418,-56.129,41046.0,600519
2010-10-25,-54.371,-51.366,-50.765,-55.025,36195.0,600519
2010-10-26,-51.516,-54.364,-51.456,-55.115,28590.0,600519
2010-10-27,-54.559,-55.01,-54.071,-56.25,28912.0,600519
2010-10-28,-55.198,-55.844,-54.897,-56.077,19440.0,600519
2010-10-29,-57.572,-58.767,-57.324,-60.758,65465.0,600519
2010-11-01,-58.729,-58.308,-57.452,-59.48,49658.0,600519
2010-11-02,-57.737,-59.127,-57.737,-59.939,62292.0,600519
2010-11-03,-58.879,-58.616,-56.888,-60.006,42253.0,600519
2010-11-04,-58.165,-57.339,-56.971,-59.045,44629.0,600519
2010-11-05,-57.151,-58.143,-56.625,-58.654,34654.0,600519
2010-11-08,-58.135,-58.511,-58.128,-60.194,56894.0,600519
2010-11-09,-58.428,-56.73,-56.182,-59.09,60737.0,600519
2010-11-10,-56.175,-46.31,-44.266,-56.25,150005.0,600519
2010-11-11,-44.612,-49.172,-44.612,-50.532,74217.0,600519
2010-11-12,-49.45,-47.963,-40.036,-49.473,126500.0,600519
2010-11-15,-44.612,-43.335,-40.096,-44.612,79038.0,600519
2010-11-16,-41.607,-48.218,-41.599,-50.239,72291.0,600519
2010-11-17,-49.187,-57.377,-49.187,-58.278,80509.0,600519
2010-11-18,-56.212,-54.003,-52.891,-56.625,40286.0,600519
2010-11-19,-52.794,-49.743,-49.112,-53.462,48954.0,600519
2010-11-22,-49.954,-47.226,-44.319,-50.765,47940.0,600519
2010-11-23,-47.324,-39.315,-39.195,-48.962,108469.0,600519
2010-11-24,-37.091,-31.141,-26.122,-37.091,110799.0,600519
2010-11-25,-30.682,-28.849,-28.361,-33.335,45579.0,600519
2010-11-26,-28.849,-25.641,-21.561,-30.622,63799.0,600519
2010-11-29,-27.136,-18.736,-14.552,-27.136,67499.0,600519
2010-11-30,-18.782,-27.467,-18.782,-30.833,65665.0,600519
2010-12-01,-28.827,-29.277,-25.07,-31.066,38016.0,600519
2010-12-02,-27.925,-32.455,-26.573,-32.651,42940.0,600519
2010-12-03,-32.583,-31.238,-28.458,-32.809,43037.0,600519
2010-12-06,-31.193,-36.325,-29.578,-38.511,43281.0,600519
2010-12-07,-37.174,-32.914,-31.982,-38.699,31804.0,600519
2010-12-08,-32.959,-33.951,-29.728,-34.078,28334.0,600519
2010-12-09,-34.093,-34.642,-33.5,-36.866,24461.0,600519
2010-12-10,-36.077,-32.794,-31.922,-37.842,39587.0,600519
2010-12-13,-32.959,-33.342,-32.959,-35.964,58592.0,600519
2010-12-14,-33.102,-32.651,-29.954,-33.485,61542.0,600519
2010-12-15,-32.583,-30.555,-28.579,-32.583,47423.0,600519
2010-12-16,-22.072,-25.836,-21.689,-26.197,66817.0,600519
2010-12-17,-25.07,-27.76,-24.168,-28.218,51769.0,600519
2010-12-20,-26.588,-33.049,-26.077,-35.588,68557.0,600519
2010-12-21,-33.072,-35.588,-32.876,-36.332,59359.0,600519
2010-12-22,-35.536,-37.88,-35.22,-38.594,44151.0,600519
2010-12-23,-37.955,-38.06,-36.565,-38.594,32743.0,600519
2010-12-24,-38.06,-39.555,-37.91,-40.848,29408.0,600519
2010-12-27,-39.345,-43.86,-38.601,-44.371,45246.0,600519
2010-12-28,-43.853,-43.658,-41.148,-48.06,48176.0,600519
2010-12-29,-43.778,-41.599,-41.546,-44.604,30967.0,600519
2010-12-30,-41.223,-44.657,-41.223,-45.957,41774.0,600519
2010-12-31,-44.755,-43.162,-42.891,-45.318,46084.0,600519
2011-01-04,-40.923,-41.975,-40.171,-44.153,60462.0,600519
2011-01-05,-42.425,-45.295,-42.05,-45.731,58198.0,600519
2011-01-06,-45.198,-45.927,-43.402,-47.279,37584.0,600519
2011-01-07,-45.972,-46.317,-44.837,-47.234,30533.0,600519
2011-01-10,-46.392,-50.382,-45.724,-50.51,38784.0,600519
2011-01-11,-50.855,-50.945,-49.488,-52.711,45322.0,600519
2011-01-12,-50.54,-50.262,-49.112,-51.809,31323.0,600519
2011-01-13,-49.488,-46.49,-45.356,-50.247,41341.0,600519
2011-01-14,-46.896,-45.964,-45.198,-48.135,25772.0,600519
2011-01-17,-46.332,-49.42,-44.454,-49.848,37475.0,600519
2011-01-18,-49.788,-44.184,-44.146,-50.622,40962.0,600519
2011-01-19,-44.184,-43.981,-43.425,-45.273,26198.0,600519
2011-01-20,-44.379,-46.054,-43.109,-47.422,24523.0,600519
2011-01-21,-46.257,-49.195,-44.98,-49.368,26867.0,600519
2011-01-24,-49.21,-52.478,-48.0,-53.613,34775.0,600519
2011-01-25,-52.884,-53.094,-51.817,-53.62,17238.0,600519
2011-01-26,-52.861,-52.012,-50.622,-52.861,14325.0,600519
2011-01-27,-52.147,-51.321,-49.653,-53.936,29444.0,600519
2011-01-28,-51.359,-51.111,-50.517,-51.832,19591.0,600519
2011-01-31,-50.99,-47.617,-45.416,-51.359,32442.0,600519
2011-02-01,-47.61,-45.897,-44.717,-47.985,17758.0,600519
2011-02-09,-46.114,-47.64,-45.498,-48.361,17675.0,600519
2011-02-10,-48.098,-42.328,-41.607,-48.135,36008.0,600519
2011-02-11,-42.546,-42.403,-39.758,-42.884,34001.0,600519
2011-02-14,-42.403,-40.765,-40.096,-43.177,36639.0,600519
2011-02-15,-40.765,-42.17,-39.495,-42.501,29716.0,600519
2011-02-16,-42.343,-43.342,-41.607,-44.83,36440.0,600519
